8009_3#10 8009_3#4 8009_3#1 8009_3#11 8009_3#12 8009_3#2 8009_3#13 8009_3#3 8009_3#6 8009_3#9 8009_3#5 8009_3#8 8009_3#7
BPAG_0000012401-mRNA-1 1247 670 1422 1078 1135 764 820 679 2007 1112 3442 1986 848
BPAG_0000012501-mRNA-1 186 70 312 355 388 171 277 156 2181 1916 795 569 248
BPAG_0000012601-mRNA-1 1605 691 4337 4373 5456 2344 3248 1936 4168 3291 5889 3808 6984
BPAG_0000012701-mRNA-1 1390 1627 2327 1196 1447 1202 900 1025 2302 1196 3742 1651 1229
BPAG_0000012801-mRNA-1 380 230 469 332 329 246 360 296 984 641 1677 1054 1432
BPAG_0000012901-mRNA-1 1839 806 1466 1304 1424 800 1001 657 1876 1165 3087 1655 1363
BPAG_0000013001-mRNA-1 195 84 399 350 412 242 595 375 1579 1050 2831 1708 259
BPAG_0000013101-mRNA-1 254 156 343 199 281 150 297 213 500 265 1071 432 212
BPAG_0000013301-mRNA-1 80 44 160 103 110 55 132 86 379 236 3071 1930 77
BPAG_0000013401-mRNA-1 1204 955 2333 1122 1200 1244 875 1228 2540 897 4185 1671 1627
BPAG_0000013501-mRNA-1 5 3 8 3 4 7 2 5 58 42 25 14 8
BPAG_0000013601-mRNA-1 489 212 489 361 326 181 355 210 560 376 767 639 212
BPAG_0000013801-mRNA-1 101 1190 2501 55 109 637 59 928 839 19 3095 120 1538
BPAG_0000013901-mRNA-1 4918 7760 16632 2434 2832 4598 2181 6483 7932 1671 22578 5142 9613
BPAG_0000014001-mRNA-1 3626 2556 632 670 496 335 358 247 1754 1031 294 132 237
BPAG_0000014101-mRNA-1 5240 2554 1711 1212 1108 533 887 644 2794 1792 1497 1144 1046
BPAG_0000014201-mRNA-1 1226 647 1313 853 103 96 867 796 300 146 211 113 95
BPAG_0000014301-mRNA-1 1099 702 1648 971 1158 764 830 831 2431 1290 3199 1458 911
BPAG_0000014401-mRNA-1 2800 1048 1612 1626 1698 1052 1228 923 2214 1266 3197 2184 1977
BPAG_0000014501-mRNA-1 4619 2016 2319 1782 1498 1310 1386 1150 2842 1472 5363 4469 3770
BPAG_0000014601-mRNA-1 189 141 270 180 169 144 122 95 1133 638 659 439 585
BPAG_0000014701-mRNA-1 4478 2230 2144 1946 1158 795 987 517 242 391 1613 973 733
BPAG_0000014901-mRNA-1 474 156 223 231 275 116 103 66 257 214 585 714 854
BPAG_0000015001-mRNA-1 974 407 1578 956 1146 592 1035 707 1639 1027 2034 1426 1179
BPAG_0000015101-mRNA-1 1654 783 1595 1441 1584 733 1134 706 1989 1344 2614 1799 1557
BPAG_0000015201-mRNA-1 1159 561 1343 1254 999 562 1085 765 2181 1336 12885 5950 983
BPAG_0000015301-mRNA-1 449 164 564 620 616 262 455 275 884 663 1085 546 404
BPAG_0000015401-mRNA-1 2695 942 2556 2055 1741 913 1292 991 2158 1320 3051 2115 1434
BPAG_0000015501-mRNA-1 184 240 430 116 149 203 91 213 618 210 892 246 411
BPAG_0000015601-mRNA-1 645 317 849 734 868 405 743 473 1449 931 1450 951 723
BPAG_0000015701-mRNA-1 248 107 55 53 67 37 339 143 47 37 16 12 66
BPAG_0000015801-mRNA-1 470 123 498 476 905 479 306 182 191 136 350 266 91
BPAG_0000015901-mRNA-1 27 11 74 45 68 72 30 36 31 17 42 18 10
BPAG_0000016001-mRNA-1 1402 1498 3182 1260 1212 1523 972 1348 2987 869 4044 1600 2474
BPAG_0000016101-mRNA-1 463 446 867 373 452 498 295 386 2018 965 2810 1272 896
BPAG_0000016201-mRNA-1 4280 2874 4922 2895 3115 3257 2131 2426 6339 2225 6783 3008 4395
BPAG_0000016301-mRNA-1 2038 1084 3166 2234 2882 1890 2156 1737 3099 1618 3768 2109 1515
BPAG_0000016401-mRNA-1 755 729 2780 1143 3714 3682 1536 2056 3630 1254 2904 1155 577
BPAG_0000016501-mRNA-1 5 3 2 2 1000 240 2 0 3 2 1897 1429 1
BPAG_0000016601-mRNA-1 4 0 4 9 56 13 25 13 68 38 1957 1501 1
BPAG_0000016701-mRNA-1 265 179 324 171 134 137 202 191 1806 738 552 260 200
BPAG_0000016801-mRNA-1 1375 530 1067 914 1323 639 716 494 741 431 1973 1308 1570
BPAG_0000016901-mRNA-1 1208 611 1501 1659 1585 638 874 542 1084 762 1313 1068 855
BPAG_0000017001-mRNA-1 2810 2953 7116 2099 3021 3828 2485 4272 6796 1909 11223 3129 4356
BPAG_0000017101-mRNA-1 1047 619 879 739 854 564 665 549 1849 1052 2695 1341 796
BPAG_0000017201-mRNA-1 927 665 1166 731 644 597 566 615 1438 627 3037 1163 1348
BPAG_0000017301-mRNA-1 466 261 578 431 469 313 423 313 829 430 1447 797 440
BPAG_0000017401-mRNA-1 19 5 24 29 21 12 20 11 14 14 56 34 10
BPAG_0000017601-mRNA-1 807 346 861 696 709 420 568 439 858 467 1827 936 675
BPAG_0000017701-mRNA-1 149 62 217 122 156 99 117 107 170 76 288 152 121
BPAG_0000017801-mRNA-1 66 18 26 35 32 8 11 12 7 12 32 43 20
BPAG_0000017901-mRNA-1 432 143 168 278 282 108 232 118 423 338 438 287 489
BPAG_0000018001-mRNA-1 790 325 1018 882 1133 533 745 468 867 610 1009 717 337
BPAG_0000018101-mRNA-1 1548 498 860 803 754 409 542 333 1158 816 1646 1155 1251
BPAG_0000018201-mRNA-1 3814 1475 2147 1985 1762 990 1413 952 4148 2702 3422 2113 1758
BPAG_0000018401-mRNA-1 2266 1033 1699 1297 1791 848 1188 940 2153 1174 2965 1332 1943
BPAG_0000018501-mRNA-1 394 182 577 622 854 410 492 289 614 404 335 228 177
BPAG_0000018601-mRNA-1 474 314 778 491 614 440 452 415 1935 1159 1879 946 658
BPAG_0000018701-mRNA-1 2346 975 1865 1757 2968 1529 1758 1206 2279 1423 3412 2260 1324
BPAG_0000018801-mRNA-1 211 120 478 263 314 223 473 447 1595 785 2680 1283 476
BPAG_0000018901-mRNA-1 411 122 188 204 149 60 99 51 266 169 232 162 31
BPAG_0000019001-mRNA-1 1504 410 449 564 430 170 415 230 283 202 235 249 131
BPAG_0000019101-mRNA-1 238 102 102 123 113 64 38 35 37 24 57 70 35
BPAG_0000019201-mRNA-1 2903 1713 1365 1382 1559 826 991 831 2224 1258 1902 1151 911
BPAG_0000019401-mRNA-1 3767 1672 3911 3139 3391 1963 2428 2047 3366 1968 5274 3330 2605
BPAG_0000019501-mRNA-1 930 424 1493 1378 2128 1155 1345 870 1836 1226 2097 1356 941
BPAG_0000019601-mRNA-1 379 108 340 349 708 266 344 224 323 240 322 175 198
BPAG_0000019701-mRNA-1 1556 854 3699 2217 2737 2573 1852 1792 4741 1869 2688 1196 1099
BPAG_0000019801-mRNA-1 68 68 175 54 99 126 64 112 1322 851 87 18 19
BPAG_0000019901-mRNA-1 98 159 451 209 317 536 331 383 476 66 215 52 68
BPAG_0000020001-mRNA-1 3871 2417 7002 3808 4507 3494 3015 3091 5430 2330 12704 5659 5308
BPAG_0000020201-mRNA-1 3923 1667 3283 2968 3893 1985 2255 1585 3390 2216 4709 3500 2324
BPAG_0000020301-mRNA-1 2940 1041 635 806 1030 428 602 340 207 119 405 328 1136
BPAG_0000020401-mRNA-1 1975 961 986 861 893 509 627 435 1033 546 1116 729 788
BPAG_0000020501-mRNA-1 457 150 302 302 402 146 328 168 534 426 741 588 524
BPAG_0000020601-mRNA-1 24 5 11 15 18 7 12 4 752 672 19 16 7
BPAG_0000020701-mRNA-1 548 271 209 308 273 110 134 84 121 66 65 41 130
BPAG_0000020801-mRNA-1 3006 1368 817 856 650 367 642 424 343 241 653 452 801
BPAG_0000020901-mRNA-1 1731 857 1319 1359 1520 887 991 870 1367 660 2664 1726 1147
BPAG_0000021001-mRNA-1 3517 1676 5171 4806 5114 2439 3501 2519 4554 2828 5571 3597 1351
BPAG_0000021101-mRNA-1 837 1201 3144 700 772 1317 669 1370 2539 525 3623 889 2113
BPAG_0000021201-mRNA-1 22 30 49 6 6 24 6 24 107 47 56 18 3
BPAG_0000021301-mRNA-1 720 472 914 498 452 413 396 498 1325 651 3832 1409 582
BPAG_0000021401-mRNA-1 1748 863 1681 1543 1545 735 1396 926 2401 1342 4420 2960 1450
BPAG_0000021501-mRNA-1 40 22 42 77 102 46 41 30 70165 62206 243 48 43
BPAG_0000021601-mRNA-1 1105 729 1530 944 959 691 832 816 1709 859 2013 1005 455
BPAG_0000021701-mRNA-1 829 481 1764 1322 1854 964 1486 838 2641 1758 2095 882 1577
BPAG_0000021801-mRNA-1 1441 513 842 993 1466 759 1105 697 848 532 1401 804 595
