8009_3#10 8009_3#4 8009_3#1 8009_3#11 8009_3#12 8009_3#2 8009_3#13 8009_3#3 8009_3#6 8009_3#9 8009_3#5 8009_3#8 8009_3#7
BPAG_0000621101-mRNA-1 445 332 553 344 390 343 386 288 496 192 403 245 352
BPAG_0000621301-mRNA-1 165 65 112 94 105 45 62 56 186 160 262 140 106
BPAG_0000621401-mRNA-1 170 52 87 100 107 55 57 33 470 473 26 15 8
BPAG_0000621801-mRNA-1 37 7 17 23 29 15 22 9 27 30 47 30 50
BPAG_0000621901-mRNA-1 0 0 1 1 1 0 0 0 129 120 3 6 1
BPAG_0000622001-mRNA-1 19 9 23 20 16 12 21 15 59 46 49 12 20
BPAG_0000622301-mRNA-1 4 6 11 14 2421 2090 50 66 16 9 80 84 11
BPAG_0000622401-mRNA-1 115 46 107 98 125 68 150 92 155 135 59 58 105
BPAG_0000622601-mRNA-1 30 7 17 23 17 7 13 11 35 30 67 38 27
BPAG_0000622701-mRNA-1 343 223 512 258 339 241 208 237 745 454 772 274 240
BPAG_0000622801-mRNA-1 124 41 29 50 30 12 15 5 63 58 16 10 89
BPAG_0000622901-mRNA-1 159 92 355 179 387 258 262 238 427 231 410 161 138
BPAG_0000623001-mRNA-1 2 60 97 2 3 44 0 52 53 1 41 0 35
BPAG_0000623101-mRNA-1 26 23 66 18 48 55 28 25 110 37 225 107 65
BPAG_0000623201-mRNA-1 167 70 119 147 169 60 133 73 201 140 279 201 229
BPAG_0000623301-mRNA-1 272 184 379 217 592 450 370 286 949 423 544 210 210
BPAG_0000623401-mRNA-1 53 18 32 38 56 21 44 38 141 84 582 327 44
BPAG_0000623601-mRNA-1 12 1 8 3 22 6 5 2 32 14 55 38 1
BPAG_0000623701-mRNA-1 2 3 14 10 16 14 8 13 72 34 117 52 36
BPAG_0000623901-mRNA-1 240 63 142 200 221 91 139 67 198 140 249 204 138
BPAG_0000624001-mRNA-1 40 25 35 31 38 29 23 26 35 37 32 21 24
BPAG_0000624101-mRNA-1 3 92 175 6 10 79 6 96 69 2 274 13 87
BPAG_0000624201-mRNA-1 192 250 2092 1388 3572 3161 3702 4186 823 336 473 110 2
BPAG_0000624301-mRNA-1 4 708 1280 10 17 1601 23 2788 405 5 311 5 3
BPAG_0000624401-mRNA-1 87 27 97 69 717 306 272 125 1178 811 235 99 199
BPAG_0000624501-mRNA-1 73 132 132 67 64 90 59 85 172 40 51 8 18
BPAG_0000624901-mRNA-1 12 44 51 7 2 48 1 28 23 2 22 3 5
BPAG_0000625101-mRNA-1 284 107 162 135 173 84 122 59 280 172 309 212 134
BPAG_0000625201-mRNA-1 151 70 184 131 144 79 140 88 331 182 188 129 198
BPAG_0000625301-mRNA-1 205 62 178 189 335 137 181 105 195 170 173 132 142
BPAG_0000625401-mRNA-1 344 133 229 281 335 121 220 129 402 314 375 293 268
BPAG_0000625601-mRNA-1 15 7 29 37 30 9 30 13 37 18 41 16 48
BPAG_0000626001-mRNA-1 23 7 15 21 33 10 30 15 216 141 10 0 0
BPAG_0000626101-mRNA-1 0 29 77 2 0 107 0 177 29 1 17 0 0
BPAG_0000626201-mRNA-1 211 101 315 207 379 213 253 215 392 175 389 222 143
BPAG_0000626301-mRNA-1 2 2 3 1 42 21 2 2 76 48 5 1 3
BPAG_0000626401-mRNA-1 33 14 20 10 38 12 11 10 107 89 12 5 8
BPAG_0000626501-mRNA-1 41 13 30 40 56 23 18 16 32 28 16 17 31
BPAG_0000626601-mRNA-1 0 0 1 0 0 0 3 1 81 67 4 2 0
BPAG_0000626701-mRNA-1 88 46 123 122 105 69 82 71 139 74 208 142 152
BPAG_0000626801-mRNA-1 103 68 126 57 66 44 46 61 157 55 451 206 102
BPAG_0000627001-mRNA-1 3 0 3 7 7 6 10 5 7 8 171 69 81
BPAG_0000627101-mRNA-1 478 178 237 256 375 193 134 98 154 116 137 121 471
BPAG_0000627201-mRNA-1 8 5 10 6 9 8 2 3 79 50 7 6 16
BPAG_0000627301-mRNA-1 218 119 175 241 232 112 196 87 314 173 402 245 479
BPAG_0000627401-mRNA-1 24 17 40 37 30 18 19 28 83 48 65 45 43
BPAG_0000627601-mRNA-1 23 12 41 18 21 15 26 27 85 59 72 34 14
BPAG_0000627701-mRNA-1 33 61 99 18 37 57 10 54 124 25 196 60 51
BPAG_0000627901-mRNA-1 18 78 109 10 14 67 19 62 51 9 131 14 24
BPAG_0000628101-mRNA-1 11 10 19 4 5 12 1 17 67 36 35 10 2
BPAG_0000628301-mRNA-1 43 17 66 24 68 76 48 69 112 46 83 32 34
BPAG_0000628401-mRNA-1 34 50 49 22 28 41 19 14 22 11 36 12 31
BPAG_0000628501-mRNA-1 31 9 46 48 65 32 42 32 88 59 61 45 52
BPAG_0000628601-mRNA-1 148 69 158 137 171 75 101 67 202 110 233 148 167
BPAG_0000628701-mRNA-1 0 0 0 0 0 0 3 2 68 45 10 1 0
BPAG_0000628901-mRNA-1 1 90 158 3 1 66 1 54 242 2 216 6 106
BPAG_0000629001-mRNA-1 125 57 123 130 170 66 100 64 193 165 321 216 77
BPAG_0000629101-mRNA-1 34 6 20 53 115 44 29 11 119 84 8 11 29
BPAG_0000629201-mRNA-1 0 0 1 0 0 1 1 1 235 205 4 1 0
BPAG_0000629301-mRNA-1 43 10 148 128 71 36 141 89 20 10 110 59 1
BPAG_0000629401-mRNA-1 137 54 59 41 72 37 49 47 69 36 63 91 74
BPAG_0000629501-mRNA-1 27 504 464 15 17 363 21 440 736 39 181 6 100
BPAG_0000629701-mRNA-1 536 182 328 282 566 245 339 193 143 77 108 95 51
BPAG_0000629901-mRNA-1 131 70 151 88 149 81 78 61 137 56 56 29 53
BPAG_0000630201-mRNA-1 83 28 219 180 284 113 204 121 152 116 224 143 96
BPAG_0000630501-mRNA-1 60 29 86 62 63 35 58 38 170 142 100 55 47
BPAG_0000630601-mRNA-1 411 267 1169 716 1392 756 973 775 913 525 605 237 164
BPAG_0000630701-mRNA-1 0 45 38 1 3 83 1 95 176 0 51 0 0
BPAG_0000630801-mRNA-1 82 22 72 65 64 36 88 30 143 95 117 80 51
BPAG_0000630901-mRNA-1 166 58 212 187 209 91 232 138 552 415 738 469 187
BPAG_0000631001-mRNA-1 21 95 196 21 18 73 21 80 186 14 193 31 119
BPAG_0000631101-mRNA-1 113 70 96 86 114 41 61 53 156 100 181 105 61
BPAG_0000631201-mRNA-1 454 130 472 773 741 353 512 311 566 381 692 458 178
BPAG_0000631301-mRNA-1 294 182 383 244 512 314 342 313 371 172 237 128 267
BPAG_0000631401-mRNA-1 109 63 54 44 39 36 35 19 12 5 62 38 45
BPAG_0000631701-mRNA-1 28 28 36 15 21 13 27 35 38 15 11 11 9
BPAG_0000632101-mRNA-1 399 139 451 486 628 295 410 270 877 641 581 357 199
BPAG_0000632301-mRNA-1 18 10 64 61 65 59 24 28 94 27 32 7 1
BPAG_0000632501-mRNA-1 294 109 186 152 115 112 166 104 97 57 181 104 53
BPAG_0000632601-mRNA-1 188 100 234 84 151 116 109 117 132 69 113 32 30
BPAG_0000632801-mRNA-1 31 72 193 42 32 111 30 103 297 48 278 74 152
BPAG_0000633301-mRNA-1 327 162 108 85 166 128 197 182 275 108 183 121 73
BPAG_0000633401-mRNA-1 101 59 149 121 39 18 55 77 14 1 75 46 4
BPAG_0000633601-mRNA-1 1 0 2 0 2 0 0 1 731 428 8 3 3
BPAG_0000633701-mRNA-1 76 57 109 100 95 50 81 64 271 170 605 287 135
BPAG_0000633901-mRNA-1 42 18 149 150 125 75 174 131 32 36 69 40 7
BPAG_0000634101-mRNA-1 36 51 259 45 66 97 96 160 808 182 494 102 85
BPAG_0000634301-mRNA-1 226 79 483 378 356 197 298 180 454 228 591 325 341
BPAG_0000634401-mRNA-1 119 47 386 430 225 102 287 256 404 261 208 125 200
BPAG_0000634501-mRNA-1 18 4 7 7 6 6 2 7 8 8 45 46 137
BPAG_0000634601-mRNA-1 89 223 1138 89 344 1746 144 701 399 31 97 8 4
BPAG_0000634801-mRNA-1 126 48 69 59 70 46 40 27 227 140 48 33 40
BPAG_0000635001-mRNA-1 0 0 2 4 5 6 0 2 0 0 170 132 2
BPAG_0000635101-mRNA-1 5 2 8 9 11 6 10 11 255 208 30 28 19
BPAG_0000635201-mRNA-1 31 14 40 36 37 19 24 16 228 215 100 75 147
BPAG_0000635301-mRNA-1 19 8 28 10 15 17 17 21 88 31 85 20 35
BPAG_0000635401-mRNA-1 59 13 22 32 62 37 26 21 31 11 53 60 26
BPAG_0000635601-mRNA-1 16 10 30 28 20 20 26 45 189 50 44 3 28
BPAG_0000635801-mRNA-1 110 72 146 56 84 47 34 56 37 8 220 106 130
BPAG_0000635901-mRNA-1 352 402 608 212 358 480 195 325 714 241 481 138 215
BPAG_0000636101-mRNA-1 237 74 126 147 160 62 121 75 396 271 266 134 97
BPAG_0000636301-mRNA-1 7 1 0 1 16 2 0 0 0 0 354 366 0
BPAG_0000636501-mRNA-1 34 29 80 19 18 22 17 36 65 21 155 60 97
BPAG_0000636601-mRNA-1 179 46 68 76 207 89 168 94 134 60 56 15 14
BPAG_0000636701-mRNA-1 0 0 0 0 0 0 0 0 4 9 63 25 0
BPAG_0000636901-mRNA-1 0 0 0 1 161 51 3 3 143 93 35 35 0
BPAG_0000637001-mRNA-1 941 450 556 612 525 238 354 227 553 370 346 172 574
BPAG_0000637101-mRNA-1 91 104 191 100 105 135 70 85 117 57 57 31 20
BPAG_0000637401-mRNA-1 4 1 1 5 7 0 8 3 584 535 11 5 1
BPAG_0000637601-mRNA-1 7 17 10 1 98 361 4 32 16 2 43 12 22
BPAG_0000637801-mRNA-1 17 46 89 10 7 74 2 26 74 5 111 11 37
BPAG_0000637901-mRNA-1 84 52 87 38 47 33 25 42 122 48 228 79 81
BPAG_0000638101-mRNA-1 30 20 21 15 17 14 20 9 27 21 34 35 28
BPAG_0000638201-mRNA-1 444 170 218 241 310 148 188 134 373 240 413 272 153
BPAG_0000638501-mRNA-1 62 19 39 65 54 32 44 39 16 10 124 32 4
BPAG_0000638601-mRNA-1 768 293 245 216 55 17 236 90 72 54 185 167 752
BPAG_0000638701-mRNA-1 136 23 278 203 92 31 368 197 131 63 342 376 40
BPAG_0000638801-mRNA-1 73 30 58 71 86 36 31 25 64 43 534 243 40
BPAG_0000638901-mRNA-1 56 20 68 51 48 24 157 78 208 129 47 39 16
BPAG_0000639001-mRNA-1 52 17 19 20 38 16 35 11 47 37 31 26 32
BPAG_0000639101-mRNA-1 11 283 545 18 21 237 14 314 298 8 288 23 310
BPAG_0000639201-mRNA-1 0 0 0 0 97 88 2 4 0 0 4 4 2
BPAG_0000639301-mRNA-1 57 35 55 81 82 29 50 37 89 48 93 51 50
BPAG_0000639501-mRNA-1 1 0 0 0 1 0 0 0 448 401 1 0 0
BPAG_0000639601-mRNA-1 54 58 62 50 42 60 37 37 82 37 33 13 26
BPAG_0000639901-mRNA-1 341 174 361 319 495 260 292 219 521 296 506 285 201
BPAG_0000640001-mRNA-1 198 138 466 233 295 330 260 328 552 218 641 202 251
BPAG_0000640101-mRNA-1 116 60 115 78 72 70 57 43 274 150 297 188 119
BPAG_0000640301-mRNA-1 1 0 3 9 7 4 1 1 7 1 1522 705 1
BPAG_0000640501-mRNA-1 6 82 280 8 9 64 3 133 93 15 211 7 35
BPAG_0000640601-mRNA-1 84 117 284 127 135 136 73 129 176 90 229 80 100
BPAG_0000640701-mRNA-1 0 0 4 3 22 15 14 11 3 0 114 63 0
BPAG_0000640801-mRNA-1 186 80 160 157 125 49 115 89 170 106 267 137 304
BPAG_0000640901-mRNA-1 4 0 3 4 202 5 4 2 34 31 10 7 0
BPAG_0000641001-mRNA-1 19 24 20 12 11 5 9 10 53 23 34 23 26
BPAG_0000641101-mRNA-1 305 97 426 315 364 227 145 110 32 23 68 41 31
BPAG_0000641201-mRNA-1 22 48 108 26 39 61 38 66 118 40 38 16 59
BPAG_0000641601-mRNA-1 92 44 1044 571 2499 2261 853 555 248 119 636 301 1
BPAG_0000641701-mRNA-1 49 16 46 55 40 25 27 25 56 47 73 38 25
BPAG_0000641801-mRNA-1 378 169 458 381 536 322 451 315 749 468 464 182 250
BPAG_0000641901-mRNA-1 12 2 5 4 126 78 8 11 2 2 5 6 5
BPAG_0000642001-mRNA-1 13 3 28 22 27 14 20 13 84 63 112 57 53
BPAG_0000642201-mRNA-1 334 136 273 237 696 325 304 176 343 270 364 199 104
BPAG_0000642301-mRNA-1 8 32 66 3 9 42 4 24 143 22 338 50 75
BPAG_0000642401-mRNA-1 39 40 92 38 34 69 34 80 159 37 186 54 75
BPAG_0000642501-mRNA-1 237 107 186 186 205 98 211 114 448 339 642 367 176
BPAG_0000642601-mRNA-1 35 10 61 31 46 38 61 41 76 36 63 32 47
BPAG_0000642801-mRNA-1 43 24 106 47 84 56 80 56 212 115 118 54 72
BPAG_0000642901-mRNA-1 96 198 307 22 38 160 32 151 274 31 615 94 206
BPAG_0000643001-mRNA-1 78 32 184 120 47 40 215 87 81 52 129 165 42
BPAG_0000643101-mRNA-1 116 42 87 150 140 25 93 70 142 126 158 126 175
BPAG_0000643201-mRNA-1 61 23 130 146 229 137 177 119 487 335 434 278 146
BPAG_0000643301-mRNA-1 21 22 80 17 43 53 32 39 118 30 88 42 45
BPAG_0000643401-mRNA-1 0 26 28 1 4 59 2 59 135 0 31 0 0
BPAG_0000643601-mRNA-1 34 26 55 41 40 43 7 8 13 6 269 149 15
BPAG_0000643701-mRNA-1 44 15 23 34 35 12 72 33 49 36 76 26 1
BPAG_0000643801-mRNA-1 476 1007 2025 751 1918 2778 2370 4699 649 140 501 100 15
BPAG_0000643901-mRNA-1 39 13 43 55 44 30 34 19 39 27 46 27 0
BPAG_0000644001-mRNA-1 1089 390 988 879 691 230 939 491 658 372 472 312 79
BPAG_0000644301-mRNA-1 46 35 84 46 104 50 60 46 216 142 127 84 75
BPAG_0000644501-mRNA-1 93 76 179 95 156 146 54 86 176 60 251 111 90
BPAG_0000644701-mRNA-1 0 36 27 0 2 31 3 21 43 6 41 4 20
BPAG_0000644801-mRNA-1 257 149 221 176 210 114 167 149 335 185 369 209 308
BPAG_0000644901-mRNA-1 108 89 116 84 96 87 74 44 442 245 330 136 149
BPAG_0000645001-mRNA-1 2 52 76 1 0 73 1 57 60 0 50 2 27
BPAG_0000645301-mRNA-1 47 46 149 76 71 83 58 71 280 104 216 68 129
BPAG_0000645601-mRNA-1 27 25 80 25 34 16 11 15 177 64 115 53 59
BPAG_0000645701-mRNA-1 59 116 192 32 40 95 10 83 419 62 286 54 171
BPAG_0000646001-mRNA-1 35 21 26 25 75 27 36 51 59 30 53 31 24
BPAG_0000646101-mRNA-1 763 383 7 15 2 0 6 5 11 8 5 7 0
BPAG_0000646601-mRNA-1 114 33 118 134 111 61 94 71 118 62 235 161 142
BPAG_0000646701-mRNA-1 26 12 35 24 141 76 25 25 61 26 16 9 1
BPAG_0000646801-mRNA-1 76 33 46 46 67 29 24 16 77 47 14 32 47
BPAG_0000646901-mRNA-1 22 23 53 21 22 27 25 32 114 37 106 49 42
BPAG_0000647301-mRNA-1 101 40 142 72 97 75 48 61 139 47 145 86 89
BPAG_0000647401-mRNA-1 206 266 696 372 639 594 534 812 162 64 125 38 16
BPAG_0000647601-mRNA-1 37 20 14 5 0 0 3 8 12 7 16 12 30
BPAG_0000647701-mRNA-1 2 5 16 2 2 35 0 13 31 0 70 2 22
BPAG_0000647801-mRNA-1 54 54 67 38 52 45 42 50 132 45 153 61 126
BPAG_0000648101-mRNA-1 157 68 162 156 247 117 320 173 331 220 211 103 153
BPAG_0000648201-mRNA-1 178 53 111 119 150 63 108 47 144 113 218 197 155
BPAG_0000648301-mRNA-1 24 22 30 25 27 19 20 14 60 24 46 21 23
BPAG_0000648401-mRNA-1 2 0 1 0 2 0 0 0 3 1 1534 941 1
BPAG_0000648701-mRNA-1 196 80 36 36 69 31 36 22 12 10 3 4 20
BPAG_0000648801-mRNA-1 10 8 6 3 1 4 0 2 2 3 97 34 2
BPAG_0000648901-mRNA-1 8 1 25 55 3 2 233 151 299 184 263 101 6
BPAG_0000649001-mRNA-1 83 20 16 35 25 6 6 4 13 19 5 10 25
BPAG_0000649201-mRNA-1 29 21 51 41 43 15 32 40 183 82 90 45 35
BPAG_0000649301-mRNA-1 553 281 380 406 731 277 479 179 435 318 370 286 151
BPAG_0000649401-mRNA-1 8 183 354 4 5 97 7 152 185 1 427 16 66
BPAG_0000649601-mRNA-1 27 3 37 39 85 38 9 12 7 6 45 51 7
BPAG_0000649701-mRNA-1 4 39 340 9 12 179 6 178 573 16 386 7 51
BPAG_0000649801-mRNA-1 291 92 183 214 174 93 170 103 367 247 550 338 287
BPAG_0000649901-mRNA-1 0 77 160 1 2 73 4 66 118 1 106 2 90
BPAG_0000650201-mRNA-1 1299 388 31 26 5 5 15 13 14 10 2 1 0
BPAG_0000650401-mRNA-1 73 46 185 79 95 72 47 61 113 46 30 13 36
BPAG_0000650501-mRNA-1 58 97 128 63 29 125 20 61 221 27 292 79 148
BPAG_0000650701-mRNA-1 205 132 129 96 123 81 104 104 335 166 296 117 78
BPAG_0000650801-mRNA-1 195 106 328 224 212 98 294 153 377 221 363 243 84
BPAG_0000650901-mRNA-1 25 17 24 18 21 21 11 8 37 25 47 31 52
BPAG_0000651101-mRNA-1 119 145 209 77 72 130 87 145 328 73 473 174 185
BPAG_0000651201-mRNA-1 0 2 0 2 203 173 4 3 1 1 12 5 1
BPAG_0000651301-mRNA-1 17 9 12 15 59 22 24 17 89 66 28 7 0
BPAG_0000651701-mRNA-1 128 68 299 315 1185 575 271 139 130 103 144 142 89
BPAG_0000651801-mRNA-1 1 28 48 0 1 41 0 24 98 1 105 2 97
BPAG_0000651901-mRNA-1 169 71 161 190 286 90 173 83 370 332 158 105 83
BPAG_0000652001-mRNA-1 2 14 103 12 21 67 7 87 221 20 111 6 28
BPAG_0000652301-mRNA-1 57 35 93 49 39 59 38 64 144 39 179 48 156
BPAG_0000652601-mRNA-1 74 42 108 45 93 62 54 54 26 20 61 44 80
BPAG_0000652801-mRNA-1 0 28 59 0 0 35 0 22 44 0 42 1 23
BPAG_0000652901-mRNA-1 92 40 181 159 165 62 137 105 225 149 297 101 417
BPAG_0000653001-mRNA-1 55 44 128 50 65 65 52 71 209 75 237 77 110
BPAG_0000653201-mRNA-1 11 3 11 17 7419 2787 7 7 60 39 651 275 45
BPAG_0000653401-mRNA-1 376 114 88 78 21 7 20 34 135 86 67 37 121
BPAG_0000653501-mRNA-1 110 105 357 192 158 113 96 115 210 97 347 139 123
BPAG_0000654101-mRNA-1 2 0 0 2 4 0 0 0 108 113 6 1 2
BPAG_0000654501-mRNA-1 351 195 243 231 226 129 136 108 442 268 443 295 167
BPAG_0000654601-mRNA-1 84 49 333 262 416 317 469 399 104 48 187 111 11
BPAG_0000654701-mRNA-1 190 58 79 118 199 55 96 54 117 96 31 17 61
BPAG_0000654801-mRNA-1 387 149 348 348 400 212 278 170 570 315 263 206 376
BPAG_0000655301-mRNA-1 1 0 0 0 0 0 0 0 171 187 1 0 3
BPAG_0000655401-mRNA-1 115 76 55 41 54 42 39 37 65 41 65 34 77
BPAG_0000655701-mRNA-1 341 109 268 260 347 148 237 149 524 320 356 238 162
BPAG_0000655901-mRNA-1 84 62 101 46 42 48 33 60 155 78 519 167 82
BPAG_0000656101-mRNA-1 0 0 2 3 5 5 5 2 0 0 148 95 31
BPAG_0000656201-mRNA-1 8 3 4 5 16 7 6 4 1 0 534 525 0
BPAG_0000656301-mRNA-1 67 32 21 17 6 6 10 4 10 6 31 16 67
BPAG_0000656601-mRNA-1 117 92 261 140 208 168 125 121 216 89 170 86 64
BPAG_0000656701-mRNA-1 2 37 38 1 9 66 4 90 152 3 39 1 1
BPAG_0000656801-mRNA-1 3991 1304 79 60 26 12 74 37 47 26 9 5 5
BPAG_0000656901-mRNA-1 1039 290 652 699 890 419 593 310 579 402 1189 1006 905
BPAG_0000657001-mRNA-1 3 2 5 9 88 37 18 14 8 3 21 18 7
BPAG_0000657101-mRNA-1 1 0 3 0 2 0 5 1 1934 1383 8 0 1
BPAG_0000657201-mRNA-1 39 179 208 38 38 132 33 166 234 41 81 17 52
BPAG_0000657301-mRNA-1 357 129 142 134 37 7 64 62 89 67 30 16 255
BPAG_0000657401-mRNA-1 142 50 91 96 106 61 74 46 258 176 310 187 122
BPAG_0000657501-mRNA-1 46 15 31 26 22 19 19 8 38 32 51 25 28
BPAG_0000657701-mRNA-1 37 12 39 38 95 40 40 27 220 113 32 20 1
BPAG_0000658001-mRNA-1 393 200 528 337 400 210 294 258 397 278 504 242 223
BPAG_0000658101-mRNA-1 34 8 18 19 17 1 10 7 44 27 74 42 26
BPAG_0000658401-mRNA-1 304 119 262 260 457 210 292 194 438 240 324 224 163
BPAG_0000658701-mRNA-1 127 80 141 109 378 162 192 122 663 466 214 94 84
BPAG_0000658901-mRNA-1 1 2 0 1 2 1 1 2 7 1 181 114 14
BPAG_0000659101-mRNA-1 0 0 0 0 1 0 3 0 344 293 0 1 0
BPAG_0000659201-mRNA-1 124 50 119 110 133 75 86 83 178 120 257 178 116
BPAG_0000659501-mRNA-1 199 124 269 171 211 174 231 201 406 223 255 108 74
BPAG_0000659701-mRNA-1 6 1 26 14 15 10 4 4 133 132 4 1 9
BPAG_0000659901-mRNA-1 82 50 142 124 86 40 98 54 134 105 149 60 189
BPAG_0000660001-mRNA-1 352 157 487 511 723 315 522 287 823 628 835 632 294
BPAG_0000660101-mRNA-1 17 12 57 21 21 30 18 42 40 18 39 15 28
BPAG_0000660201-mRNA-1 0 0 0 0 0 0 0 0 4 1 244 109 0
BPAG_0000660401-mRNA-1 493 419 621 375 345 216 303 269 947 544 704 457 432
BPAG_0000660601-mRNA-1 5 27 15 2 0 7 0 2 3 1 10 3 33
BPAG_0000660701-mRNA-1 63 32 103 65 112 55 50 58 133 70 154 95 95
BPAG_0000660801-mRNA-1 551 308 257 92 11 10 45 51 503 205 198 107 321
BPAG_0000661201-mRNA-1 1 17 45 6 4 39 3 15 53 5 99 25 16
BPAG_0000661601-mRNA-1 0 2 0 1 6 1 0 1 0 1 68 41 23
BPAG_0000661701-mRNA-1 41 12 6 8 16 3 2 5 430 412 65 62 7
BPAG_0000661901-mRNA-1 15 5 1 5 6372 2611 9 2 42 35 190 113 0
BPAG_0000662001-mRNA-1 602 200 588 750 646 255 720 692 719 498 523 244 52
BPAG_0000662101-mRNA-1 11 17 24 5 3 10 9 11 37 14 91 26 31
BPAG_0000662201-mRNA-1 36 25 74 41 53 41 38 35 187 77 960 394 96
BPAG_0000662301-mRNA-1 63 42 66 92 74 28 51 45 77 37 148 84 11
BPAG_0000662401-mRNA-1 41 60 125 44 22 62 25 76 156 31 223 78 143
BPAG_0000662601-mRNA-1 76 44 83 48 75 40 49 48 297 184 188 82 103
BPAG_0000662801-mRNA-1 145 45 148 187 257 72 130 70 270 232 225 178 113
BPAG_0000662901-mRNA-1 2 0 5 7 6 7 5 0 1728 1434 30 26 4
BPAG_0000663101-mRNA-1 2 1 5 21 15 7 19 15 123 84 238 138 7
BPAG_0000663201-mRNA-1 754 362 373 290 200 85 107 69 210 88 216 152 83
BPAG_0000663401-mRNA-1 59 27 34 34 31 27 10 7 22 9 50 11 80
BPAG_0000663501-mRNA-1 4 33 59 5 5 56 5 30 33 2 47 5 20
BPAG_0000663701-mRNA-1 107 66 81 33 20 21 11 29 25 13 54 28 18
BPAG_0000664001-mRNA-1 8 2 21 5 35 12 32 18 100 77 89 31 4
BPAG_0000664101-mRNA-1 1 54 99 2 3 236 0 71 14 1 48 0 17
BPAG_0000664201-mRNA-1 93 57 109 85 104 53 82 63 318 182 214 119 109
BPAG_0000664301-mRNA-1 200 104 333 415 335 124 324 209 300 242 302 172 208
BPAG_0000664401-mRNA-1 65 23 82 66 53 50 65 44 152 137 157 93 76
BPAG_0000664501-mRNA-1 111 55 53 103 106 68 114 105 305 219 141 48 205
BPAG_0000664701-mRNA-1 0 0 0 0 0 0 0 0 70 51 0 0 0
BPAG_0000665001-mRNA-1 172 113 140 107 94 69 88 46 217 125 299 131 300
BPAG_0000665101-mRNA-1 135 45 115 110 144 100 124 86 128 110 170 116 93
BPAG_0000665201-mRNA-1 146 65 141 167 155 80 105 61 77 56 42 23 7
BPAG_0000665301-mRNA-1 71 36 81 36 58 60 17 28 13 4 17 21 10
BPAG_0000665401-mRNA-1 3 2 0 1 2 1 0 0 878 480 2 0 0
BPAG_0000665501-mRNA-1 300 154 119 163 529 228 162 63 87 43 40 18 80
BPAG_0000665701-mRNA-1 79 120 251 71 55 121 54 89 239 43 312 90 195
BPAG_0000666001-mRNA-1 20 38 167 13 13 43 8 96 40 12 52 11 23
BPAG_0000666601-mRNA-1 27 17 53 39 37 32 35 26 41 37 77 31 71
BPAG_0000666701-mRNA-1 126 43 65 43 10 0 25 19 25 17 12 7 83
BPAG_0000666901-mRNA-1 19 13 87 39 34 32 49 64 56 20 60 20 14
BPAG_0000667001-mRNA-1 1 0 3 0 3 4 0 5 605 263 230 44 0
BPAG_0000667101-mRNA-1 108 36 72 67 155 97 68 49 95 54 49 53 48
BPAG_0000667201-mRNA-1 41 38 17 11 25 19 23 45 51 8 38 11 8
BPAG_0000667301-mRNA-1 6 0 6 8 10 7 20 18 62 38 118 50 9
BPAG_0000667601-mRNA-1 107 53 123 136 153 87 143 68 148 79 241 107 117
BPAG_0000667701-mRNA-1 104 75 123 61 43 53 61 69 100 30 26 6 5
BPAG_0000667801-mRNA-1 136 39 90 97 42 25 35 13 61 36 247 145 91
BPAG_0000668201-mRNA-1 76 50 62 63 93 30 45 39 16812 7409 143 21 8
BPAG_0000668401-mRNA-1 49 19 50 61 52 16 47 19 71 46 108 49 48
BPAG_0000668501-mRNA-1 98 31 74 68 81 54 68 34 128 64 185 119 91
BPAG_0000668601-mRNA-1 54 17 61 53 84 39 65 24 117 84 118 71 89
BPAG_0000668701-mRNA-1 7 1 23 38 9 3 150 75 150 123 101 79 7
BPAG_0000668801-mRNA-1 42 29 123 74 217 134 96 79 162 74 278 104 38
BPAG_0000668901-mRNA-1 31 16 32 36 25 19 16 22 64 38 78 40 64
BPAG_0000669101-mRNA-1 133 48 69 38 9 3 28 14 34 29 24 21 9
BPAG_0000669201-mRNA-1 112 33 39 45 37 23 5 8 38 34 15 9 34
BPAG_0000669301-mRNA-1 32 13 47 33 23 29 39 28 83 38 44 25 36
BPAG_0000669401-mRNA-1 39 14 26 18 23 8 12 11 15 15 36 31 19
BPAG_0000669701-mRNA-1 49 81 118 54 93 104 40 62 169 65 45 28 80
BPAG_0000670001-mRNA-1 74 27 83 78 67 33 93 75 71 50 66 37 10
BPAG_0000670101-mRNA-1 16 12 24 12 24 19 14 20 96 57 62 28 20
BPAG_0000670201-mRNA-1 86 33 52 89 102 40 38 22 87 69 137 103 50
BPAG_0000670301-mRNA-1 83 53 97 71 185 88 74 43 95 72 124 77 191
BPAG_0000670401-mRNA-1 101 107 231 80 169 242 104 194 202 65 101 34 46
BPAG_0000670501-mRNA-1 4 1 41 18 21 11 34 18 111 74 142 69 41
BPAG_0000670601-mRNA-1 56 32 91 50 73 55 56 51 94 41 103 39 28
BPAG_0000670701-mRNA-1 2 0 1 3 415 177 1 2 235 222 3 0 2
BPAG_0000670801-mRNA-1 38 14 40 37 49 19 34 23 57 39 67 38 36
BPAG_0000670901-mRNA-1 3 34 72 7 10 61 5 44 75 4 119 10 40
BPAG_0000671001-mRNA-1 513 187 79 64 181 149 65 40 801 514 161 54 182
BPAG_0000671701-mRNA-1 302 95 233 286 356 108 225 139 486 398 689 494 153
BPAG_0000671801-mRNA-1 0 0 0 0 0 0 0 0 81 66 2 1 0
